2017/11/15 15:35:16 [emerg] 1504#1504: getpwnam("nginx") failed
2017/11/15 15:46:06 [notice] 2482#2482: signal process started
2017/11/15 15:51:57 [emerg] 2969#2969: bind() to 0.0.0.0:80 failed (98: Address already in use)
2017/11/15 15:51:57 [emerg] 2969#2969: bind() to 0.0.0.0:80 failed (98: Address already in use)
2017/11/15 15:51:57 [emerg] 2969#2969: bind() to 0.0.0.0:80 failed (98: Address already in use)
2017/11/15 15:51:57 [emerg] 2969#2969: bind() to 0.0.0.0:80 failed (98: Address already in use)
2017/11/15 15:54:25 [notice] 3211#3211: signal process started
2017/11/15 16:12:05 [notice] 4835#4835: signal process started
2017/11/15 16:15:01 [notice] 5134#5134: signal process started
2017/11/15 16:19:55 [notice] 5551#5551: signal process started
2017/11/15 16:21:58 [notice] 5733#5733: signal process started
2017/11/15 17:15:01 [notice] 10011#10011: signal process started
2017/11/15 18:15:01 [notice] 14801#14801: signal process started
2017/11/15 19:15:01 [notice] 19635#19635: signal process started
2017/11/15 20:15:01 [notice] 24583#24583: signal process started
2017/11/15 21:15:02 [notice] 29489#29489: signal process started
2017/11/15 22:15:01 [notice] 1979#1979: signal process started
2017/11/15 23:15:01 [notice] 6914#6914: signal process started
2017/11/16 00:15:01 [notice] 12110#12110: signal process started
2017/11/16 01:15:01 [notice] 17316#17316: signal process started
2017/11/16 02:15:01 [notice] 22795#22795: signal process started
2017/11/16 03:15:01 [notice] 29266#29266: signal process started
2017/11/16 04:15:01 [notice] 2986#2986: signal process started
2017/11/16 05:15:01 [notice] 8209#8209: signal process started
2017/11/16 06:15:01 [notice] 13549#13549: signal process started
2017/11/16 07:15:01 [notice] 18782#18782: signal process started
2017/11/16 08:15:01 [notice] 24085#24085: signal process started
2017/11/16 09:15:01 [notice] 29297#29297: signal process started
2017/11/16 10:15:01 [notice] 2227#2227: signal process started
2017/11/16 11:15:01 [notice] 7076#7076: signal process started
2017/11/16 11:28:30 [emerg] 8078#8078: unexpected "}" in /usr/local/nginx-1.12.2/conf/vhosts/wdtcdn.gamedreamer.com.tw.conf:13
2017/11/16 11:28:53 [emerg] 8082#8082: open() "/usr/local/nginx-1.12.2/conf/conf.d/vhosts/whitelist.txt" failed (2: No such file or directory) in /usr/local/nginx-1.12.2/conf/vhosts/wdtcdn.gamedreamer.com.tw.conf:12
2017/11/16 11:31:35 [notice] 8350#8350: signal process started
